code,region
SNC01,Scotland
RGT01,East of Eng
RW402,North West
RBS25,North West
24027,N Ireland
RBL14,North West
RNJ00,London
RDDH0,East of Eng
2020,N Ireland
RQ3,Midlands
RA723,South West
RQ8L0,East of Eng
RWM51,Wales
RNX02,South East
RDEE4,East of Eng
RLGAY,North East
33020,N Ireland
RK950,South West
RP5,Yorkshire &
RBD01,South West
SYC02,Scotland
RJ122,London
RTD01,North East
RH641,South West
RP4,London
RJ121,London
RL7,Midlands
RF201,Yorkshire &
RGQ02,East of Eng
RCJAT,North East
RVVKC,South East
RJZ,London
99RQR13,Yorkshire &
RFBAK,Midlands
RAQ01,East of Eng
RJ50Z,London
RM574,North West
RQHC7,Wales
RL403,Midlands
STC01,Scotland
RM102,East of Eng
RK7CC,Yorkshire &
99RCSLB,Midlands
RCSLB,Midlands
RHU02,South East
RRK02,Midlands
SHC01,Scotland
11023,N Ireland
RHW01,South East
REF12,South West
RFPFG,Midlands
RH8,South West
RAL01,London
SGC02,Scotland
SSC02,Scotland
RQ617,North West
RW3RM,North West
RMF01,North West
RLZ01,Midlands
RHM02,South East
RJE01,Midlands
RGU01,South East
RTD02,North East
RNA03,Midlands
RM301,North West
99RHM01,South East
RAJ01,East of Eng
RAJ,East of Eng
REE01,South West
RJ701,London
RAZ,London
RAE05,Yorkshire &
RLNGH,North East
RCB55,Yorkshire &
48021,N Ireland
7021,N Ireland
RKB01,Midlands
SAC02,Scotland
SLC01,Scotland
RRBBV,Wales
SFC01,Scotland
RKHA4,Wales
RKGA1,Wales
RQBAU,Wales
REM,North West
RQ000,Yorkshire &
SGLAS,Scotland
RJ100,London
