code,short
SNC01,Abrdn
RGT01,Camb
RW402,Liv Ain
RBS25,Livpl_P
24027,Antrim
RBL14,Wirral
RNJ00,L Barts
RDDH0,Basldn
2020,Belfast
RQ3,Bham_P
RA723,Brstl_P
RQ8L0,Chelms
RWM51,Cardf_P
RNX02,Oxford
RDEE4,Colchr
RLGAY,Carlis
33020,Newry
RK950,Plymth
RP5,Donc
RBD01,Dorset
SYC02,D&Gall
RJ122,L Eve_P
RTD01,Newc
RH641,Glouc
RP4,L GOSH_P
RJ121,L Guys
RL7,B Heart
RF201,Hull
RGQ02,Ipswi
RCJAT,Middlbr
RVVKC,Kent
RJZ,L Kings
99RQR13,Leeds_P
RFBAK,Leic
RAQ01,Stevng
RJ50Z,L West
RM574,M RI
RQHC7,Swanse
RL403,Wolve
STC01,Dundee
RM102,Norwch
RK7CC,Sheff
99RCSLB,Nottm_P
RCSLB,Nottm
RHU02,Ports
RRK02,Bham
SHC01,Inverns
11023,Blfst_P
RHW01,Redng
REF12,Truro
RFPFG,Derby
RH8,Exeter
RAL01,L Rfree
SGC02,Glasg_P
SSC02,Edinb
RQ617,Liv Roy
RW3RM,Manch_P
RMF01,Prestn
RLZ01,Shrew
RHM02,Soton_P
RJE01,Stoke
RGU01,Brightn
RTD02,Newc_P
RNA03,Dudley
RM301,Salford
99RHM01,Soton_P
RAJ01,Sthend
RAJ,EssexMS
REE01,Bristol
RJ701,L St.G
RAZ,Carsh
RAE05,Bradfd
RLNGH,Sund
RCB55,York
48021,West NI
7021,Ulster
RKB01,Covnt
SAC02,Klmarnk
SLC01,Airdrie
RRBBV,Cardff
SFC01,Krkcldy
RKHA4,Wrexm
RKGA1,Clwyd
RQBAU,Bangor
REM,Liv UH
RQ000,Leeds
SGLAS,Glasgw
RJ100,L Eve_P
