Item_Name,Item_Format,Item_Start_Date,Item_End_Date,Item_Alias,Item_Description,Code,Default_Code_Indicator,Code_Short_Description,Code_Long_Description,Code_Start_Date,Code_End_Date,Constraint_Indicator
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,10,N,first Activity,first Activity - first Activity in a Referral To Treatment Period,01/01/2007,Null,N
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,11,N,Active Monitoring end,Active Monitoring end - first Activity at the start of a new Referral To Treatment Period following Active Monitoring,01/01/2007,Null,N
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,12,N,Consultant or NHS Allied Health Professional Service (Referral To Treatment Measurement) referral,Consultant or NHS Allied Health Professional Service (Referral To Treatment Measurement) referral - the first Activity at the start of a new Referral To Treatment Period following a decision to refer directly to the Consultant or NHS Allied Health Professional Service (Referral To Treatment Measurement) for a separate condition,01/01/2007,Null,N
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,20,N,subsequent Activity during a Referral To Treatment Period,subsequent Activity during a Referral To Treatment Period - further Activities anticipated,01/01/2007,Null,N
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,21,N,transfer to another Health Care Provider,transfer to another Health Care Provider - subsequent Activity by another Health Care Provider during a Referral To Treatment Period anticipated,01/01/2007,Null,N
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,30,N,Start of First Definitive Treatment,Start of First Definitive Treatment,01/01/2007,Null,N
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,31,N,start of Active Monitoring initiated by the Patient,start of Active Monitoring initiated by the Patient,01/01/2007,Null,N
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,32,N,start of Active Monitoring initiated by the Care Professional,start of Active Monitoring initiated by the Care Professional,01/01/2007,Null,N
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,33,N,Did not attend,Did not attend - the Patient did not attend the first Care Activity after the referral,01/01/2007,Null,Y
Referral_To_Treatment_Period_Status,an2,01/04/2012,Null,Null,The status of an Activity (or anticipated Activity) for the Referral To Treatment Period decided by the lead Care Professional.,34,N,decision not to treat,decision not to treat - decision not to treat made or no further contact required,01/01/2007,Null,Y
